"","GENE","SCORE","FDR"
"1","ENSG00000000003.15",4.10414598053028,0.43
"2","ENSG00000000005.6",6.1,0.643
"3","ENSG00000000419.14",4.38352060406263,0.776
"4","ENSG00000000457.14",4.30322848861469,0.719
"5","ENSG00000000460.17",4.53824763143655,0.802
"6","ENSG00000000938.13",4.17804385899838,0.019
"7","ENSG00000000971.16",4.42724566906698,0.674
"8","ENSG00000001036.14",4.51365656982382,0.652
"9","ENSG00000001084.13",4.45651143654209,0.286
"10","ENSG00000001167.15",4.33104683185923,0.908
"11","ENSG00000001460.18",3.64653506861282,0.149
"12","ENSG00000001461.17",3.88285645410897,0.116
"13","ENSG00000001497.18",5.26688030070698,0.772
"14","ENSG00000001561.7",5.17541780546617,0.279
"15","ENSG00000001617.12",4.35284132795211,0.669
"16","ENSG00000001626.17",4.78626352040713,0.547
"17","ENSG00000001629.10",4.54134814929194,0.027
"18","ENSG00000001630.18",4.4010159536665,0.161
"19","ENSG00000001631.17",4.71976560908953,0.865
"20","ENSG00000002016.18",3.9880585973087,0.192
"21","ENSG00000002079.14",4.33042112348838,0.641
"22","ENSG00000002330.14",4.92401812449424,0.993
"23","ENSG00000002549.13",4.85857461644069,0.915
"24","ENSG00000002586.20",5.05153897329612,0.999
"25","ENSG00000002587.10",4.11695868582733,0.192
"26","ENSG00000002726.21",5.4004754839741,0.495
"27","ENSG00000002745.13",3.34707779443447,0.163
"28","ENSG00000002746.15",4.27268677499288,0.89
"29","ENSG00000002822.16",4.62635587010291,0.549
"30","ENSG00000002834.18",4.36887292004367,0.181
"31","ENSG00000002919.15",4.33347115011839,0.217
"32","ENSG00000002933.9",5.29066704605595,0.319
"33","ENSG00000003056.8",4.43663263071717,0.113
"34","ENSG00000003096.14",4.53572423549365,0.761
"35","ENSG00000003137.9",5.10743867469875,0.997
"36","ENSG00000003147.19",5.01532883628202,0.949
"37","ENSG00000003249.15",3.77105922069571,0.458
"38","ENSG00000003393.16",4.48071590920315,0.595
"39","ENSG00000003400.15",4.3415107253242,0.617
"40","ENSG00000003402.21",3.80617167934108,0.044
"41","ENSG00000003436.16",4.45996574919852,0.092
"42","ENSG00000003509.16",4.69527969173414,0.63
"43","ENSG00000003756.17",3.99379849009632,0.9
"44","ENSG00000003987.14",3.1572841561016,0.096
"45","ENSG00000003989.18",3.12871734595556,0.113
"46","ENSG00000004059.11",5.2808207488647,0.912
"47","ENSG00000004139.14",4.42248672813565,0.5
"48","ENSG00000004142.12",5.08780578616967,0.88
"49","ENSG00000004399.13",4.84427833594048,0.726
"50","ENSG00000004455.17",4.81705117855608,0.843
"51","ENSG00000004468.13",3.62361201644108,0.1
"52","ENSG00000004478.8",4.56455062546781,0.05
"53","ENSG00000004487.18",4.5944319564994,0.038
"54","ENSG00000004534.15",4.61214609504266,0.027
"55","ENSG00000004660.15",4.29608264268909,0.514
"56","ENSG00000004700.16",4.97237518918868,0.889
"57","ENSG00000004766.17",4.17212197376002,0.281
"58","ENSG00000004776.13",5.57523880852832,0.942
"59","ENSG00000004777.19",3.92311097068405,0.398
"60","ENSG00000004779.10",5.11992832200149,0.629
"61","ENSG00000004799.8",4.52070057430051,0.501
"62","ENSG00000004838.14",4.22296914224022,0.575
"63","ENSG00000004846.17",4.64154392207503,0.74
"64","ENSG00000004848.8",4.06033369598662,0.38
"65","ENSG00000004864.14",3.84428514411775,0.234
"66","ENSG00000004866.22",3.17599722158893,0.035
"67","ENSG00000004897.12",2.94354383705933,0.001
"68","ENSG00000004939.16",5.83977214466909,0.837
"69","ENSG00000004948.16",5.73275028426017,0.496
"70","ENSG00000004961.15",4.73351078766249,0.123
"71","ENSG00000004975.12",5.30481669618241,1.001
"72","ENSG00000005001.10",4.58091123027951,0.109
"73","ENSG00000005007.13",3.86274759660065,0.458
"74","ENSG00000005020.13",4.10015763798504,0.01
"75","ENSG00000005022.6",5.28417825811383,1.001
"76","ENSG00000005059.16",4.76870877897058,0.919
"77","ENSG00000005073.6",5.44556431144387,0.841
"78","ENSG00000005100.13",4.3804788277665,0.264
"79","ENSG00000005102.14",3.3601170552707,0.209
"80","ENSG00000005108.17",5.19706376078136,0.563
"81","ENSG00000005156.12",3.46947163510391,0.138
"82","ENSG00000005175.10",4.38907357249353,0.055
"83","ENSG00000005187.12",2.5929497163277,0.013
"84","ENSG00000005189.20",4.23610199411935,0.632
"85","ENSG00000005194.15",4.92237994692822,0.184
"86","ENSG00000005206.17",4.58269739133348,0.84
"87","ENSG00000005238.20",4.56532221861342,0.749
"88","ENSG00000005243.10",4.72207301821781,0.146
"89","ENSG00000005249.13",3.55121565843234,0.086
"90","ENSG00000005302.19",4.85284203817369,0.746
"91","ENSG00000005339.15",2.44126641488678,0.001
"92","ENSG00000005379.17",5.10709472516444,0.969
"93","ENSG00000005381.8",6.8,1.001
"94","ENSG00000005421.9",5.61608425917842,0.349
"95","ENSG00000005436.14",5.02038441542549,0.955
"96","ENSG00000005448.17",5.01292832922607,0.849
"97","ENSG00000005469.12",5.00465767758051,0.99
