"","GENE","SCORE","FDR"
"1","ENSG00000000003.15",3.33239715895217,0.349
"2","ENSG00000000005.6",5.25,0.434
"3","ENSG00000000419.14",3.2191857104069,0.419
"4","ENSG00000000457.14",3.18017486697712,0.395
"5","ENSG00000000460.17",2.64677577162082,0.004
"6","ENSG00000000938.13",5.37195614100162,0.688
"7","ENSG00000000971.16",2.99694416872079,0.088
"8","ENSG00000001036.14",4.18748116434433,0.912
"9","ENSG00000001084.13",3.46691986245537,0.206
"10","ENSG00000001167.15",2.80270591291507,0.156
"11","ENSG00000001460.18",3.06573345286602,0.283
"12","ENSG00000001461.17",3.80062143830764,0.643
"13","ENSG00000001497.18",4.14006604507273,0.387
"14","ENSG00000001561.7",4.42541780546617,0.272
"15","ENSG00000001617.12",3.27935950297049,0.38
"16","ENSG00000001626.17",4.28944792081418,0.416
"17","ENSG00000001629.10",3.98887152699223,0.638
"18","ENSG00000001630.18",3.89690922790362,0.816
"19","ENSG00000001631.17",3.06161831113999,0.162
"20","ENSG00000002016.18",3.00797812607992,0.086
"21","ENSG00000002079.14",4.13523218088621,0.725
"22","ENSG00000002330.14",3.18790798534892,0.239
"23","ENSG00000002549.13",3.44486168000113,0.249
"24","ENSG00000002586.20",3.64782019283433,0.16
"25","ENSG00000002587.10",3.95920646794806,0.5
"26","ENSG00000002726.21",4.59665064668922,0.383
"27","ENSG00000002745.13",3.25268919837778,0.292
"28","ENSG00000002746.15",2.34893024383299,0.022
"29","ENSG00000002822.16",3.75052412649019,0.706
"30","ENSG00000002834.18",4.01818375569754,0.995
"31","ENSG00000002919.15",3.68478821288294,0.711
"32","ENSG00000002933.9",4.50451464407684,0.24
"33","ENSG00000003056.8",3.92455302043943,0.991
"34","ENSG00000003096.14",3.5630384813849,0.731
"35","ENSG00000003137.9",2.5438219178477,0.056
"36","ENSG00000003147.19",2.12726342094089,0.004
"37","ENSG00000003249.15",4.08019784056882,0.799
"38","ENSG00000003393.16",3.31307798138687,0.222
"39","ENSG00000003400.15",1.97371740120857,0.005
"40","ENSG00000003402.21",3.56764760627275,0.469
"41","ENSG00000003436.16",3.79237180778842,0.543
"42","ENSG00000003509.16",3.56029364229284,0.336
"43","ENSG00000003756.17",2.64703576692828,0.072
"44","ENSG00000003987.14",3.2726867638321,0.254
"45","ENSG00000003989.18",4.16042857623363,0.959
"46","ENSG00000004059.11",4.1750331500354,0.573
"47","ENSG00000004139.14",3.20867050436683,0.184
"48","ENSG00000004142.12",3.90588454047973,0.489
"49","ENSG00000004399.13",3.78037761804446,0.563
"50","ENSG00000004455.17",3.84044331533127,0.824
"51","ENSG00000004468.13",4.49098867697212,0.314
"52","ENSG00000004478.8",4.42455692041669,0.997
"53","ENSG00000004487.18",4.18990392594252,0.922
"54","ENSG00000004534.15",4.04090694867465,0.749
"55","ENSG00000004660.15",3.24339518478607,0.139
"56","ENSG00000004700.16",3.36760599670978,0.073
"57","ENSG00000004766.17",3.66349658268596,0.646
"58","ENSG00000004776.13",4.37312889890526,0.498
"59","ENSG00000004777.19",3.09609486349975,0.098
"60","ENSG00000004779.10",4.19207562873298,0.809
"61","ENSG00000004799.8",2.9066348722806,0.05
"62","ENSG00000004838.14",4.04463185851071,0.832
"63","ENSG00000004846.17",3.39336791235582,0.073
"64","ENSG00000004848.8",3.98791544652083,0.357
"65","ENSG00000004864.14",3.69846106802487,0.671
"66","ENSG00000004866.22",3.91466708359949,0.983
"67","ENSG00000004897.12",3.97675209669811,0.946
"68","ENSG00000004939.16",3.39258554046087,0.032
"69","ENSG00000004948.16",5.51724971573983,0.8
"70","ENSG00000004961.15",4.39768404347766,0.937
"71","ENSG00000004975.12",3.52929636766909,0.145
"72","ENSG00000005001.10",4.01211181696334,0.237
"73","ENSG00000005007.13",3.7985486807843,0.975
"74","ENSG00000005020.13",3.97864764863071,0.806
"75","ENSG00000005022.6",3.88733743118414,0.294
"76","ENSG00000005059.16",2.94974984484861,0.013
"77","ENSG00000005073.6",3.61312411498327,0.145
"78","ENSG00000005100.13",3.8107562990559,0.689
"79","ENSG00000005102.14",3.44645727556432,0.297
"80","ENSG00000005108.17",4.1366230064747,0.182
"81","ENSG00000005156.12",3.54642951098079,0.628
"82","ENSG00000005175.10",4.21120789381826,0.944
"83","ENSG00000005187.12",4.60836719538299,0.777
"84","ENSG00000005189.20",2.31682302584902,0.034
"85","ENSG00000005194.15",4.47601749560304,0.958
"86","ENSG00000005206.17",3.1889852475667,0.183
"87","ENSG00000005238.20",3.16773381815366,0.21
"88","ENSG00000005243.10",5.02470282367492,0.775
"89","ENSG00000005249.13",3.32956615387819,0.155
"90","ENSG00000005302.19",3.29940826221809,0.046
"91","ENSG00000005339.15",3.53981439721782,0.846
"92","ENSG00000005379.17",2.41683331759077,0.016
"93","ENSG00000005381.8",4.95,0.351
"94","ENSG00000005421.9",4.83391574082158,0.32
"95","ENSG00000005436.14",3.52205941362658,0.365
"96","ENSG00000005448.17",3.64400644756154,0.171
"97","ENSG00000005469.12",2.44956234943381,0.018
"98","ENSG00000005471.19",4.80312869567431,0.577
"99","ENSG00000005483.22",3.76727268033129,0.978
"100","ENSG00000005486.17",3.9950930115096,0.457
"101","ENSG00000005513.10",3.86861411185575,0.102
"102","ENSG00000005700.15",3.88474414113472,0.814
