"","GENE","SCORE","FDR"
"1","ENSG00000000003.15",3.16389456727794,0.341
"2","ENSG00000000005.6",4.07,0.297
"3","ENSG00000000419.14",3.2692936416098,0.713
"4","ENSG00000000457.14",2.84371882231369,0.222
"5","ENSG00000000460.17",2.65957212671789,0.05
"6","ENSG00000000938.13",3.23195614100162,0.048
"7","ENSG00000000971.16",2.75265092268673,0.089
"8","ENSG00000001036.14",3.83332911455392,0.735
"9","ENSG00000001084.13",3.01796022953518,0.15
"10","ENSG00000001167.15",3.36769799284819,0.433
"11","ENSG00000001460.18",2.17324612874296,0.008
"12","ENSG00000001461.17",2.71553753473528,0.101
"13","ENSG00000001497.18",3.74817982366773,0.901
"14","ENSG00000001561.7",3.75648077787301,0.245
"15","ENSG00000001617.12",3.32704759200206,0.748
"16","ENSG00000001626.17",3.45698520341482,0.09
"17","ENSG00000001629.10",3.10501169449202,0.055
"18","ENSG00000001630.18",3.32209761062461,0.578
"19","ENSG00000001631.17",2.88161427988503,0.152
"20","ENSG00000002016.18",2.91596564035078,0.194
"21","ENSG00000002079.14",4.18309336411767,0.65
"22","ENSG00000002330.14",3.41998322063148,0.822
"23","ENSG00000002549.13",3.33435541692767,0.756
"24","ENSG00000002586.20",3.3274364512031,0.737
"25","ENSG00000002587.10",2.37347300531445,0.01
"26","ENSG00000002726.21",4.47927400425797,0.422
"27","ENSG00000002745.13",2.2842709752796,0.009
"28","ENSG00000002746.15",3.21801210407141,0.445
"29","ENSG00000002822.16",3.27675659219497,0.552
"30","ENSG00000002834.18",3.48624091340644,0.894
"31","ENSG00000002919.15",2.90318220446072,0.129
"32","ENSG00000002933.9",3.85737588504816,0.258
"33","ENSG00000003056.8",3.1449646510439,0.475
"34","ENSG00000003096.14",3.27069940809089,0.773
"35","ENSG00000003137.9",3.9600810362611,0.819
"36","ENSG00000003147.19",3.30189344918112,0.312
"37","ENSG00000003249.15",4.23311942185516,0.683
"38","ENSG00000003393.16",3.06735303806422,0.224
"39","ENSG00000003400.15",3.56029259893197,0.427
"40","ENSG00000003402.21",2.42175131305073,0.012
"41","ENSG00000003436.16",3.05636603486933,0.092
"42","ENSG00000003509.16",2.98146899796206,0.145
"43","ENSG00000003756.17",3.82027270497653,0.941
"44","ENSG00000003987.14",3.11681013182734,0.146
"45","ENSG00000003989.18",3.39167403942154,0.372
"46","ENSG00000004059.11",3.56476611425544,0.448
"47","ENSG00000004139.14",3.58143911864934,0.776
"48","ENSG00000004142.12",3.66584303768052,0.967
"49","ENSG00000004399.13",3.55982224612433,0.803
"50","ENSG00000004455.17",3.41503482690787,0.786
"51","ENSG00000004468.13",5.5903868055255,0.676
"52","ENSG00000004478.8",3.63942370502329,0.836
"53","ENSG00000004487.18",3.56016985712876,0.781
"54","ENSG00000004534.15",3.14090694867465,0.072
"55","ENSG00000004660.15",4.10250118279868,0.416
"56","ENSG00000004700.16",3.43902850605532,0.779
"57","ENSG00000004766.17",3.07446615971777,0.304
"58","ENSG00000004776.13",6.39522584805313,0.995
"59","ENSG00000004777.19",3.71879900317035,0.226
"60","ENSG00000004779.10",3.47987950009099,0.368
"61","ENSG00000004799.8",3.10126464013983,0.179
"62","ENSG00000004838.14",4.15002326677183,0.858
"63","ENSG00000004846.17",4.86215837607388,0.536
"64","ENSG00000004848.8",4.26340720206999,0.336
"65","ENSG00000004864.14",3.30024804351304,0.393
"66","ENSG00000004866.22",2.69159464811974,0.057
"67","ENSG00000004897.12",2.43253571038892,0.015
"68","ENSG00000004939.16",4.30746524678858,0.465
"69","ENSG00000004948.16",4.84275028426017,0.596
"70","ENSG00000004961.15",3.76537832619911,0.756
"71","ENSG00000004975.12",3.56873652026505,0.91
"72","ENSG00000005001.10",3.40626365336535,0.179
"73","ENSG00000005007.13",3.60617416238141,0.898
"74","ENSG00000005020.13",2.72460091703425,0.016
"75","ENSG00000005022.6",3.50643869070389,0.862
"76","ENSG00000005059.16",3.11813287013083,0.448
"77","ENSG00000005073.6",4.45406880091944,0.421
"78","ENSG00000005100.13",3.14514404731299,0.297
"79","ENSG00000005102.14",2.58199786300599,0.008
"80","ENSG00000005108.17",5.1660725965503,0.559
"81","ENSG00000005156.12",2.4730417149693,0.014
"82","ENSG00000005175.10",3.30559957621136,0.397
"83","ENSG00000005187.12",3.30471943876753,0.033
"84","ENSG00000005189.20",3.15080360526327,0.257
"85","ENSG00000005194.15",3.78241058989349,0.872
"86","ENSG00000005206.17",2.90192167037268,0.223
"87","ENSG00000005238.20",3.76463521976978,0.786
"88","ENSG00000005243.10",4.31223679795039,0.505
"89","ENSG00000005249.13",2.97257951894087,0.094
"90","ENSG00000005302.19",3.07080292284522,0.192
"91","ENSG00000005339.15",3.03193238361778,0.068
"92","ENSG00000005379.17",3.66141568016639,0.503
"93","ENSG00000005381.8",4.99,0.698
"94","ENSG00000005421.9",5.03391574082158,0.711
"95","ENSG00000005436.14",3.16452043666225,0.372
"96","ENSG00000005448.17",3.44497573817229,0.753
"97","ENSG00000005469.12",3.56191710000871,0.813
"98","ENSG00000005471.19",4.32673070236816,0.54
"99","ENSG00000005483.22",2.82926223124005,0.131
"100","ENSG00000005486.17",3.64304152189245,0.91
"101","ENSG00000005513.10",3.36460725023328,0.049
"102","ENSG00000005700.15",3.10053121633758,0.268
"103","ENSG00000005801.18",3.3723645296887,0.45
"104","ENSG00000005810.19",2.80277426843842,0.126
"105","ENSG00000005812.11",3.49255143668662,0.718
"106","ENSG00000005844.19",3.99868167475195,0.755
"107","ENSG00000005882.12",3.12053903325088,0.408
"108","ENSG00000005884.18",2.92991038017661,0.305
"109","ENSG00000005889.16",2.56286131435542,0.05
"110","ENSG00000005893.16",2.7518038959008,0.132
"111","ENSG00000005961.19",3.62063501858058,0.329
"112","ENSG00000005981.13",3.06538526650359,0.112
"113","ENSG00000006007.12",3.66995152463576,0.679
"114","ENSG00000006015.18",2.94263669847672,0.237
"115","ENSG00000006016.12",3.59591080678178,0.917
"116","ENSG00000006025.12",3.92232376524781,0.924
"117","ENSG00000006042.12",2.75115486292477,0.149
"118","ENSG00000006047.13",4.59183442894351,0.397
"119","ENSG00000006062.18",3.54927328333317,0.902
"120","ENSG00000006071.16",1.9339917844069,0.009
"121","ENSG00000006118.15",3.35114382498954,0.751
"122","ENSG00000006125.18",3.23510473831628,0.056
"123","ENSG00000006128.12",5.21,1.001
"124","ENSG00000006194.10",3.2981174130256,0.582
"125","ENSG00000006210.7",3.83603904255157,0.277
"126","ENSG00000006282.21",3.26931092445676,0.678
"127","ENSG00000006283.18",2.6242047819836,0.07
"128","ENSG00000006327.14",3.72325880258659,0.866
"129","ENSG00000006377.11",3.04036850564089,0.048
"130","ENSG00000006432.16",3.42415846680481,0.111
"131","ENSG00000006451.8",3.50599835145606,0.717
"132","ENSG00000006453.14",3.08588463863718,0.15
"133","ENSG00000006459.11",2.56054497224233,0.047
"134","ENSG00000006468.14",2.8295867420556,0.037
"135","ENSG00000006530.18",3.20712377376991,0.53
"136","ENSG00000006534.17",3.67337161798327,0.768
"137","ENSG00000006555.11",2.96347419781586,0.094
"138","ENSG00000006576.16",2.85386962046954,0.219
"139","ENSG00000006606.9",4.97342665240164,0.481
"140","ENSG00000006607.14",3.27782733805672,0.483
"141","ENSG00000006611.17",4.52509501645545,0.932
"142","ENSG00000006625.18",3.36586264204175,0.693
"143","ENSG00000006634.8",1.74848701909289,0.001
"144","ENSG00000006638.13",2.44799648745487,0.014
"145","ENSG00000006652.15",2.77399074797008,0.118
"146","ENSG00000006695.12",3.89465796887008,0.948
"147","ENSG00000006704.11",2.68454591622487,0.054
"148","ENSG00000006712.15",3.4328738085726,0.755
"149","ENSG00000006715.16",3.22045596491748,0.661
"150","ENSG00000006740.18",3.27163338459921,0.514
"151","ENSG00000006744.19",3.85019624541442,0.846
"152","ENSG00000006747.15",3.92552067595779,0.433
"153","ENSG00000006756.16",5.02720650301845,0.867
"154","ENSG00000006757.12",2.98906685009408,0.258
"155","ENSG00000006788.14",4.8002110394963,0.603
"156","ENSG00000006831.10",3.34862130553038,0.565
"157","ENSG00000006837.12",5.11926890679836,0.961
"158","ENSG00000007038.11",3.31383909464369,0.57
"159","ENSG00000007047.16",3.87439401314158,0.76
"160","ENSG00000007062.12",3.99672426358856,0.242
"161","ENSG00000007080.11",3.57912460825512,0.992
"162","ENSG00000007129.18",5.372930213349,1.001
"163","ENSG00000007168.14",3.37157806155989,0.057
"164","ENSG00000007171.18",6.48867365581113,0.799
"165","ENSG00000007174.18",3.87872483011972,0.497
"166","ENSG00000007202.15",3.57378524563676,0.857
"167","ENSG00000007216.16",4.01392921829814,0.329
"168","ENSG00000007237.19",3.59099909580475,0.435
"169","ENSG00000007255.10",3.98027219924893,0.985
"170","ENSG00000007264.15",3.74833912522062,0.845
"171","ENSG00000007306.15",3.71,0.065
"172","ENSG00000007312.13",2.94892703273511,0.073
"173","ENSG00000007314.12",3.32932303847446,0.204
"174","ENSG00000007341.19",3.14073914818082,0.653
"175","ENSG00000007350.17",4.63527213450713,0.685
"176","ENSG00000007372.25",2.62105226150023,0.071
"177","ENSG00000007376.8",3.73234782997211,0.988
"178","ENSG00000007384.15",2.93253318430319,0.193
"179","ENSG00000007392.17",3.02578346388587,0.103
"180","ENSG00000007402.12",6.86987914983914,0.98
"181","ENSG00000007516.14",4.29338826861009,0.751
"182","ENSG00000007520.4",3.65685923320587,0.936
"183","ENSG00000007541.17",3.74833735971673,0.725
"184","ENSG00000007545.16",3.40458128894334,0.426
"185","ENSG00000007908.16",3.31031553564025,0.027
"186","ENSG00000007923.17",3.48285142302714,0.687
"187","ENSG00000007933.13",3.7659390193469,0.76
"188","ENSG00000007944.15",3.21702493220992,0.593
"189","ENSG00000007952.18",3.37798729305621,0.306
"190","ENSG00000007968.7",5.30973216406135,0.973
"191","ENSG00000008018.9",3.22618529124159,0.246
"192","ENSG00000008056.14",3.78924594171524,0.553
"193","ENSG00000008083.14",2.63989862839123,0.064
"194","ENSG00000008086.13",3.34517265104601,0.637
"195","ENSG00000008118.10",3.4082619765584,0.058
"196","ENSG00000008128.23",2.9911816847599,0.089
"197","ENSG00000008130.15",3.5663722888409,0.79
"198","ENSG00000008226.20",5.58430803326557,0.863
"199","ENSG00000008256.16",2.90641473991005,0.204
"200","ENSG00000008277.15",3.02798100942573,0.293
"201","ENSG00000008282.9",3.50255590134814,0.536
"202","ENSG00000008283.16",3.52762548880284,0.96
"203","ENSG00000008294.22",2.81942979357424,0.145
"204","ENSG00000008300.17",3.2618576858828,0.644
"205","ENSG00000008311.16",3.08367943229776,0.045
"206","ENSG00000008323.16",3.79484846790888,0.227
"207","ENSG00000008324.12",4.01643886687959,0.907
"208","ENSG00000008382.16",3.38778343238784,0.48
"209","ENSG00000008394.13",3.32502588711694,0.599
"210","ENSG00000008405.12",2.84705069218344,0.112
"211","ENSG00000008438.5",3.55730514157952,0.162
"212","ENSG00000008441.19",3.23944827193574,0.354
"213","ENSG00000008513.16",3.38916947754375,0.329
"214","ENSG00000008516.18",4.34945209716285,0.653
"215","ENSG00000008517.19",3.46065493991767,0.689
"216","ENSG00000008710.20",2.75138070283983,0.085
"217","ENSG00000008735.14",3.54259409354296,0.637
"218","ENSG00000008838.21",3.25543209241496,0.753
"219","ENSG00000008853.18",3.32952691588037,0.388
"220","ENSG00000008869.12",3.54480480377877,0.589
"221","ENSG00000008952.17",3.86211213902538,0.933
"222","ENSG00000008988.11",3.19295597911471,0.065
"223","ENSG00000009307.17",3.45380993721457,0.811
