"","GENE","SCORE","FDR"
"1","ENSG00000000003.15",3.0845657875596,0.27
"2","ENSG00000000005.6",4.73,0.564
"3","ENSG00000000419.14",3.30287562604151,0.645
"4","ENSG00000000457.14",3.00992622299773,0.304
"5","ENSG00000000460.17",3.46461836538665,0.836
"6","ENSG00000000938.13",3.33824392990594,0.068
"7","ENSG00000000971.16",3.28238182008963,0.541
"8","ENSG00000001036.14",3.34419741420299,0.332
"9","ENSG00000001084.13",3.20374858261713,0.372
"10","ENSG00000001167.15",4.32660078014252,0.955
"11","ENSG00000001460.18",2.81064919862706,0.107
"12","ENSG00000001461.17",2.81285645410897,0.124
"13","ENSG00000001497.18",3.53127800690018,0.856
"14","ENSG00000001561.7",4.22541780546617,0.352
"15","ENSG00000001617.12",3.29445820337264,0.582
"16","ENSG00000001626.17",4.73029946447732,0.533
"17","ENSG00000001629.10",2.81061467339792,0.007
"18","ENSG00000001630.18",2.99041992381355,0.22
"19","ENSG00000001631.17",3.37447157678574,0.489
"20","ENSG00000002016.18",3.39935700422121,0.643
"21","ENSG00000002079.14",4.21643616037314,0.58
"22","ENSG00000002330.14",3.69001048523777,0.961
"23","ENSG00000002549.13",3.4850520672789,0.933
"24","ENSG00000002586.20",3.34529713905167,0.955
"25","ENSG00000002587.10",3.1304363110657,0.196
"26","ENSG00000002726.21",4.7104754839741,0.57
"27","ENSG00000002745.13",4.211086985566,0.647
"28","ENSG00000002746.15",3.69469322495966,0.77
"29","ENSG00000002822.16",3.11594694417315,0.354
"30","ENSG00000002834.18",2.93582422110027,0.198
"31","ENSG00000002919.15",2.61157473117747,0.016
"32","ENSG00000002933.9",4.34066704605595,0.397
"33","ENSG00000003056.8",2.8334311437138,0.076
"34","ENSG00000003096.14",3.05150336345679,0.417
"35","ENSG00000003137.9",4.55948307835384,0.981
"36","ENSG00000003147.19",4.12981899076059,0.802
"37","ENSG00000003249.15",4.35996278076587,0.691
"38","ENSG00000003393.16",3.18428846184382,0.384
"39","ENSG00000003400.15",4.47896685629522,0.899
"40","ENSG00000003402.21",2.49930004478116,0.016
"41","ENSG00000003436.16",2.99088669812376,0.147
"42","ENSG00000003509.16",3.18328364594224,0.622
"43","ENSG00000003756.17",4.10355883547085,0.962
"44","ENSG00000003987.14",3.5518413616229,0.32
"45","ENSG00000003989.18",3.29895112394651,0.248
"46","ENSG00000004059.11",3.4308207488647,0.745
"47","ENSG00000004139.14",3.45471674018559,0.654
"48","ENSG00000004142.12",3.51570729211132,0.951
"49","ENSG00000004399.13",3.08567339270443,0.275
"50","ENSG00000004455.17",3.13255971994983,0.433
"51","ENSG00000004468.13",5.12134297497298,0.304
"52","ENSG00000004478.8",2.81847388090937,0.015
"53","ENSG00000004487.18",2.90037072322186,0.03
"54","ENSG00000004534.15",2.77839058298102,0.001
"55","ENSG00000004660.15",5.301408862695,0.866
"56","ENSG00000004700.16",3.60713582306769,0.976
"57","ENSG00000004766.17",2.75339119700432,0.057
"58","ENSG00000004776.13",5.46379878778025,0.786
"59","ENSG00000004777.19",4.35791183788538,0.467
"60","ENSG00000004779.10",3.31522758389013,0.395
"61","ENSG00000004799.8",3.69789576419927,0.525
"62","ENSG00000004838.14",3.80134041751166,0.557
"63","ENSG00000004846.17",5.6701100748745,0.862
"64","ENSG00000004848.8",3.92402890090899,0.118
"65","ENSG00000004864.14",2.81416776007291,0.091
"66","ENSG00000004866.22",2.38340499065972,0.005
"67","ENSG00000004897.12",2.02607311346978,0.001
"68","ENSG00000004939.16",4.95875030544339,0.837
"69","ENSG00000004948.16",4.59724971573983,0.561
"70","ENSG00000004961.15",3.12838552978724,0.102
"71","ENSG00000004975.12",3.65180995112262,0.973
"72","ENSG00000005001.10",4.21960228237261,0.509
"73","ENSG00000005007.13",3.59239176679952,0.71
"74","ENSG00000005020.13",2.35169400359389,0.001
"75","ENSG00000005022.6",3.53298662587543,1.001
"76","ENSG00000005059.16",3.48488518288626,0.876
"77","ENSG00000005073.6",5.45171688642834,0.834
"78","ENSG00000005100.13",3.20015339703784,0.435
"79","ENSG00000005102.14",4.18417420226884,0.425
"80","ENSG00000005108.17",5.43095752887991,0.661
"81","ENSG00000005156.12",3.01359140750878,0.138
"82","ENSG00000005175.10",2.8286674824442,0.07
"83","ENSG00000005187.12",3.40697109859754,0.03
"84","ENSG00000005189.20",3.98011373757566,0.613
"85","ENSG00000005194.15",3.20560990382064,0.143
"86","ENSG00000005206.17",3.45081039565119,0.873
"87","ENSG00000005238.20",4.20666489595305,0.958
"88","ENSG00000005243.10",2.85914420932447,0.031
"89","ENSG00000005249.13",3.66437170182986,0.31
"90","ENSG00000005302.19",3.51230083640673,0.784
"91","ENSG00000005339.15",3.13445297234463,0.027
"92","ENSG00000005379.17",4.38213407415265,0.854
"93","ENSG00000005381.8",4.95,1.001
"94","ENSG00000005421.9",4.69391574082158,0.601
"95","ENSG00000005436.14",3.24155004999104,0.543
"96","ENSG00000005448.17",3.39020196297589,0.858
"97","ENSG00000005469.12",4.08749243225285,0.995
"98","ENSG00000005471.19",4.24411578033279,0.575
"99","ENSG00000005483.22",2.62719753102153,0.01
"100","ENSG00000005486.17",3.58244219983926,0.974
"101","ENSG00000005513.10",4.60072811229969,0.58
"102","ENSG00000005700.15",2.63190640424288,0.006
"103","ENSG00000005801.18",2.99767192298931,0.075
"104","ENSG00000005810.19",2.90429026198098,0.161
"105","ENSG00000005812.11",2.85153227341916,0.056
"106","ENSG00000005844.19",4.24705523345012,0.787
"107","ENSG00000005882.12",3.37103837855045,0.564
"108","ENSG00000005884.18",2.78621138506904,0.123
"109","ENSG00000005889.16",2.7507081888526,0.072
"110","ENSG00000005893.16",2.75532792376737,0.05
"111","ENSG00000005961.19",4.2132948830136,0.621
"112","ENSG00000005981.13",3.555347265265,0.23
"113","ENSG00000006007.12",3.2174470595023,0.191
"114","ENSG00000006015.18",3.58892104451215,0.865
"115","ENSG00000006016.12",3.4243308023096,0.757
"116","ENSG00000006025.12",3.9596070234301,0.92
"117","ENSG00000006042.12",3.46187867746196,0.411
"118","ENSG00000006047.13",4.70946384172286,0.359
"119","ENSG00000006062.18",3.51048148645327,0.891
"120","ENSG00000006071.16",3.73093948612845,0.512
"121","ENSG00000006118.15",3.67264836310362,0.981
"122","ENSG00000006125.18",3.07823291448693,0.084
"123","ENSG00000006128.12",4.95,1.001
"124","ENSG00000006194.10",3.08448830259616,0.345
"125","ENSG00000006210.7",4.31603904255157,0.426
"126","ENSG00000006282.21",3.27691584760733,0.695
"127","ENSG00000006283.18",2.96914924630072,0.215
"128","ENSG00000006327.14",3.57704877094054,0.669
"129","ENSG00000006377.11",3.93330954817087,0.286
"130","ENSG00000006432.16",4.19172435979312,0.403
"131","ENSG00000006451.8",3.18013742284957,0.384
"132","ENSG00000006453.14",3.28330470221073,0.677
"133","ENSG00000006459.11",2.82727331927165,0.156
"134","ENSG00000006468.14",3.98890108668918,0.405
"135","ENSG00000006530.18",3.05427725634052,0.386
"136","ENSG00000006534.17",3.74900215508691,0.923
"137","ENSG00000006555.11",3.75698364723319,0.333
"138","ENSG00000006576.16",3.65378280745071,0.981
"139","ENSG00000006606.9",4.58619797106188,0.339
"140","ENSG00000006607.14",3.54827778705083,0.709
"141","ENSG00000006611.17",4.45232990195449,0.848
"142","ENSG00000006625.18",3.70316478564267,0.93
"143","ENSG00000006634.8",2.42594879888891,0.012
"144","ENSG00000006638.13",2.60709495964048,0.025
"145","ENSG00000006652.15",2.73500976965213,0.099
"146","ENSG00000006695.12",3.4547854942234,0.584
"147","ENSG00000006704.11",2.43981697300872,0.026
"148","ENSG00000006712.15",3.12387103322628,0.269
"149","ENSG00000006715.16",3.29718931210732,0.688
"150","ENSG00000006740.18",3.27639182543168,0.63
"151","ENSG00000006744.19",3.49964581304643,0.348
"152","ENSG00000006747.15",4.35486527169424,0.553
"153","ENSG00000006756.16",4.96833405379511,0.77
"154","ENSG00000006757.12",2.96861290384655,0.296
"155","ENSG00000006788.14",4.10734169297821,0.313
"156","ENSG00000006831.10",2.85598863857566,0.036
"157","ENSG00000006837.12",3.89919131761465,0.273
"158","ENSG00000007038.11",2.97447382382453,0.138
"159","ENSG00000007047.16",3.36897172785904,0.231
"160","ENSG00000007062.12",4.12152705874253,0.304
"161","ENSG00000007080.11",3.47347151897665,0.959
"162","ENSG00000007129.18",4.612930213349,0.539
"163","ENSG00000007168.14",3.15728593044434,0.029
"164","ENSG00000007171.18",7.28867365581113,0.952
"165","ENSG00000007174.18",3.49813941524797,0.201
"166","ENSG00000007202.15",3.34902015823208,0.762
"167","ENSG00000007216.16",3.99584680002504,0.287
"168","ENSG00000007237.19",4.61399395853651,0.967
"169","ENSG00000007255.10",3.2961115991114,0.415
"170","ENSG00000007264.15",3.59658961205716,0.643
"171","ENSG00000007306.15",3.81,0.283
"172","ENSG00000007312.13",4.67933709071567,0.72
"173","ENSG00000007314.12",4.46828180112321,0.676
"174","ENSG00000007341.19",3.23026225910966,0.962
"175","ENSG00000007350.17",3.37249526998081,0.118
"176","ENSG00000007372.25",3.71399492417758,0.508
"177","ENSG00000007376.8",3.79618825368449,0.986
"178","ENSG00000007384.15",3.36088328087949,0.598
"179","ENSG00000007392.17",3.36176318868996,0.878
"180","ENSG00000007402.12",6.54987914983914,0.923
"181","ENSG00000007516.14",4.98506828134081,0.952
