"","GENE","SCORE","FDR"
"1","ENSG00000000003.15",3.08371318199249,0.368
"2","ENSG00000000005.6",5.14,0.63
"3","ENSG00000000419.14",3.31543413141713,0.789
"4","ENSG00000000457.14",3.00016697183904,0.412
"5","ENSG00000000460.17",3.57461836538665,0.931
"6","ENSG00000000938.13",3.98824392990594,0.178
"7","ENSG00000000971.16",3.36555765484631,0.706
"8","ENSG00000001036.14",3.19041676134658,0.32
"9","ENSG00000001084.13",3.61374858261713,0.847
"10","ENSG00000001167.15",3.8458832885972,0.93
"11","ENSG00000001460.18",2.84749058271286,0.228
"12","ENSG00000001461.17",3.22066279603512,0.428
"13","ENSG00000001497.18",3.72688030070698,0.583
"14","ENSG00000001561.7",4.63541780546617,0.451
"15","ENSG00000001617.12",3.20991366320053,0.589
"16","ENSG00000001626.17",4.92029946447732,0.761
"17","ENSG00000001629.10",3.22061467339792,0.065
"18","ENSG00000001630.18",3.07375927080182,0.168
"19","ENSG00000001631.17",3.48447157678574,0.733
"20","ENSG00000002016.18",3.40155883118927,0.716
"21","ENSG00000002079.14",3.84360576045135,0.612
"22","ENSG00000002330.14",3.78995278760064,0.996
"23","ENSG00000002549.13",3.51610505123526,0.921
"24","ENSG00000002586.20",3.42027849705149,0.915
"25","ENSG00000002587.10",3.3204363110657,0.271
"26","ENSG00000002726.21",4.6604754839741,0.555
"27","ENSG00000002745.13",4.14035689012207,0.883
"28","ENSG00000002746.15",3.50082852835971,0.856
"29","ENSG00000002822.16",2.99848867581734,0.12
"30","ENSG00000002834.18",2.76049419996533,0.01
"31","ENSG00000002919.15",2.79858962395861,0.042
"32","ENSG00000002933.9",4.74737588504816,0.491
"33","ENSG00000003056.8",2.96102349390093,0.065
"34","ENSG00000003096.14",3.02434996531059,0.347
"35","ENSG00000003137.9",4.31000906117819,0.981
"36","ENSG00000003147.19",4.23981899076059,0.946
"37","ENSG00000003249.15",3.27887706688749,0.331
"38","ENSG00000003393.16",3.57633799178636,0.79
