"","GENE","SCORE","FDR"
"1","ENSG00000000003.15",3.27973684183453,0.501
"2","ENSG00000000005.6",5.28,1.001
"3","ENSG00000000419.14",2.97150862528419,0.405
"4","ENSG00000000457.14",2.80866513702887,0.261
"5","ENSG00000000460.17",3.46782410836971,0.947
"6","ENSG00000000938.13",4.84824392990594,0.593
"7","ENSG00000000971.16",3.23918646984038,0.608
"8","ENSG00000001036.14",2.77354830732235,0.107
"9","ENSG00000001084.13",3.32803606468842,0.608
"10","ENSG00000001167.15",3.96759412398315,0.912
"11","ENSG00000001460.18",3.52696477513854,0.827
"12","ENSG00000001461.17",3.57206216143255,0.711
"13","ENSG00000001497.18",3.6934846764216,0.683
"14","ENSG00000001561.7",4.84874897309581,0.772
"15","ENSG00000001617.12",3.10337502194395,0.515
"16","ENSG00000001626.17",5.91811922444783,0.978
"17","ENSG00000001629.10",3.34748701131775,0.379
"18","ENSG00000001630.18",3.12928068213833,0.333
"19","ENSG00000001631.17",3.34610206954424,0.569
"20","ENSG00000002016.18",3.7349026375387,0.965
"21","ENSG00000002079.14",4.02631082898105,0.613
"22","ENSG00000002330.14",3.25696383360751,0.731
"23","ENSG00000002549.13",3.10131937645924,0.426
"24","ENSG00000002586.20",3.2377902268918,0.577
"25","ENSG00000002587.10",4.3711001444387,0.948
"26","ENSG00000002726.21",4.66927400425797,0.488
"27","ENSG00000002745.13",4.90035689012207,0.995
"28","ENSG00000002746.15",3.68814331603547,0.95
"29","ENSG00000002822.16",3.13811725005435,0.397
"30","ENSG00000002834.18",2.8013152186074,0.055
"31","ENSG00000002919.15",3.04826007534964,0.387
"32","ENSG00000002933.9",4.9304641544897,0.822
"33","ENSG00000003056.8",3.09749387046774,0.448
"34","ENSG00000003096.14",2.7277072198946,0.109
"35","ENSG00000003137.9",4.17988379240054,0.965
"36","ENSG00000003147.19",4.03136425911646,0.851
"37","ENSG00000003249.15",2.81078555437481,0.024
"38","ENSG00000003393.16",3.49416315290318,0.778
"39","ENSG00000003400.15",4.39011405358283,0.917
"40","ENSG00000003402.21",3.7216208218024,0.911
"41","ENSG00000003436.16",3.27956904109295,0.417
"42","ENSG00000003509.16",3.09135790600676,0.359
"43","ENSG00000003756.17",3.34902759836372,0.544
